location,decimalLatitude,decimalLongitude,eventDate,vernacularName,taxonID,individualCount,femaleAdult,sex,lifeStage,mortalityType,dateOriginal,easting,northing
Glacier National Park,51.24,-117.7,8/20/1959,Grizzly Bear,https://www.gbif.org/species/2433433,1,1,Female,ADULT,Railway,20/08/1959,453620,5676209
Glacier National Park,51.22,-117.7,2/17/1960,Wolverine,https://www.gbif.org/species/5219073,1,0,Male,ADULT,Railway,17/02/1960,452820,5674909
Glacier National Park,51.33,-117.4,8/6/1962,Black Bear,https://www.gbif.org/species/2433407,1,0,Unknown,UNKNOWN,Railway,6/8/1962,468820,5686609
Glacier National Park,51.41,-117.5,8/24/1962,Black Bear,https://www.gbif.org/species/2433408,1,0,Unknown,UNKNOWN,Highway,24/08/1962,467120,5696009
Glacier National Park,51.31,-117.5,9/15/1962,Black Bear,https://www.gbif.org/species/2433409,1,0,Unknown,UNKNOWN,Highway,15/09/1962,464020,5684309
Glacier National Park,51.37,-117.4,10/31/1962,Black Bear,https://www.gbif.org/species/2433410,1,1,Female,ADULT,Highway,31/10/1962,469220,5690609
Glacier National Park,51.32,-117.5,9/16/1964,Mountain Goat,https://www.gbif.org/species/2441151,1,0,Unknown,YLY,Highway,16/09/1964,466420,5685709
Glacier National Park,51.32,-117.5,5/28/1965,Mountain Goat,https://www.gbif.org/species/2441152,1,0,Male,ADULT,Highway,28/05/1965,466720,5685909
Glacier National Park,51.32,-117.5,11/20/1969,Mountain Goat,https://www.gbif.org/species/2441153,1,1,Female,ADULT,Highway,20/11/1969,466020,5685609
Glacier National Park,51.26,-117.5,5/26/1970,Black Bear,https://www.gbif.org/species/2433411,1,1,Female,ADULT,Highway,26/05/1970,463320,5679309
Glacier National Park,51.26,-117.6,5/15/1971,Grizzly Bear,https://www.gbif.org/species/2433434,1,0,Unknown,YOY,Highway,15/05/1971,460520,5679209
Glacier National Park,51.36,-117.4,6/26/1971,Black Bear,https://www.gbif.org/species/2433412,1,0,Unknown,YOY,Railway,26/06/1971,468920,5690309
Glacier National Park,51.27,-117.5,8/23/1971,Black Bear,https://www.gbif.org/species/2433413,1,1,Female,ADULT,Highway,23/08/1971,463867,5679694
Glacier National Park,51.32,-117.5,9/12/1971,Grizzly Bear,https://www.gbif.org/species/2433435,1,0,Unknown,YLY,Highway,12/9/1971,466420,5685709
Glacier National Park,51.25,-117.6,6/12/1972,Grizzly Bear,https://www.gbif.org/species/2433436,1,0,Male,ADULT,Highway,12/6/1972,457220,5677709
Glacier National Park,51.33,-117.5,8/10/1972,Mountain Goat,https://www.gbif.org/species/2441154,1,0,Unknown,YLY,Highway,10/8/1972,468220,5686409
Glacier National Park,51.39,-117.4,8/10/1972,Black Bear,https://www.gbif.org/species/2433414,1,1,Female,ADULT,Highway,10/8/1972,468785,5692801
Glacier National Park,51.32,-117.5,9/17/1973,Black Bear,https://www.gbif.org/species/2433415,1,0,Unknown,YOY,Highway,17/09/1973,464520,5685209
Glacier National Park,51.32,-117.5,9/17/1973,Black Bear,https://www.gbif.org/species/2433416,1,0,Unknown,YOY,Highway,17/09/1973,464600,5685000
Glacier National Park,51.23,-117.7,9/4/1975,Black Bear,https://www.gbif.org/species/2433417,1,1,Female,ADULT,Highway,4/9/1975,453300,5675200
Glacier National Park,51.26,-117.6,9/8/1975,Black Bear,https://www.gbif.org/species/2433418,1,1,Female,Adult,Railway,8/9/1975,459448,5678719
Glacier National Park,51.17,-117.7,9/24/1975,Black Bear,https://www.gbif.org/species/2433419,1,0,Unknown,Unknown,Railway,24/09/1975,453500,5669200
Glacier National Park,51.37,-117.4,6/30/1976,Black Bear,https://www.gbif.org/species/2433420,1,0,Unknown,YLY,Highway,30/06/1976,468820,5691509
Glacier National Park,51.47,-117.5,8/9/1976,Black Bear,https://www.gbif.org/species/2433421,1,1,Female,ADULT,Highway,9/8/1976,466820,5702109
Glacier National Park,51.38,-117.4,6/15/1977,Black Bear,https://www.gbif.org/species/2433422,4,1,Mixed group,Mixed group,Highway,15/06/1977,468690,5692585
Glacier National Park,51.21,-117.7,6/26/1977,Black Bear,https://www.gbif.org/species/2433423,1,1,Female,ADULT,Highway,26/06/1977,451220,5673909
Glacier National Park,51.37,-117.4,6/26/1977,Black Bear,https://www.gbif.org/species/2433424,4,1,Mixed,ADULT,Highway,26/06/1977,469188,5690753
Glacier National Park,51.33,-117.5,7/1/1977,Mountain Goat,https://www.gbif.org/species/2441155,1,0,Male,ADULT,Highway,1/7/1977,467702,5686106
Glacier National Park,51.32,-117.5,10/21/1977,Mountain Goat,https://www.gbif.org/species/2441156,1,1,Female,ADULT,Highway,21/10/1977,466520,5685509
Glacier National Park,51.37,-117.4,5/8/1978,Black Bear,https://www.gbif.org/species/2433425,1,1,Female,ADULT,Highway,8/5/1978,468800,5691500
Glacier National Park,51.37,-117.4,5/21/1978,Grizzly Bear,https://www.gbif.org/species/2433437,2,0,Unknown,YLY,Highway,21/05/1978,469120,5691309
Glacier National Park,51.26,-117.6,5/29/1978,Black Bear,https://www.gbif.org/species/2433426,1,0,Unknown,UNKNOWN,Railway,29/05/1978,461620,5679309
Glacier National Park,51.45,-117.5,10/20/1978,Black Bear,https://www.gbif.org/species/2433427,1,1,Female,ADULT,Highway,20/10/1978,465620,5700309
Glacier National Park,51.22,-117.7,6/7/1979,Black Bear,https://www.gbif.org/species/2433428,1,0,Unknown,ADULT,Highway,7/6/1979,452620,5674909
Glacier National Park,51.26,-117.5,8/1/1979,Black Bear,https://www.gbif.org/species/2433429,1,0,Unknown,YOY,Highway,1/8/1979,462520,5678609
Glacier National Park,51.32,-117.5,6/13/1980,Mountain Goat,https://www.gbif.org/species/2441157,1,1,Female,ADULT,Highway,13/06/1980,467320,5686009
Glacier National Park,51.33,-117.5,7/2/1980,Mountain Goat,https://www.gbif.org/species/2441158,1,0,Male,ADULT,Highway,2/7/1980,467720,5686209
Glacier National Park,51.21,-117.7,7/4/1980,Black Bear,https://www.gbif.org/species/2433430,1,0,Male,YOY,Highway,4/7/1980,450120,5673509
Glacier National Park,51.32,-117.5,11/16/1980,Mountain Goat,https://www.gbif.org/species/2441159,1,0,Male,ADULT,Highway,16/11/1980,467220,5686009
Glacier National Park,51.33,-117.5,6/8/1981,Mountain Goat,https://www.gbif.org/species/2441160,1,0,Male,ADULT,Highway,8/6/1981,468020,5686309
Glacier National Park,50.94,-117.7,7/7/1981,Black Bear,https://www.gbif.org/species/2433431,1,0,Unknown,YOY,Highway,7/7/1981,450500,5643400
Glacier National Park,51.41,-117.5,7/14/1981,Black Bear,https://www.gbif.org/species/2433432,1,0,Female,YOY,Highway,14/07/1981,467320,5695009
Glacier National Park,51.42,-117.5,7/18/1981,Black Bear,https://www.gbif.org/species/2433433,1,0,Male,ADULT,Highway,18/07/1981,467120,5696709
Glacier National Park,51.33,-117.5,7/19/1981,Mountain Goat,https://www.gbif.org/species/2441161,1,0,Female,YLY,Highway,19/07/1981,467720,5686109
Glacier National Park,51.33,-117.5,7/26/1981,Mountain Goat,https://www.gbif.org/species/2441162,1,0,Unknown,YOY,Highway,26/07/1981,467820,5686109
Glacier National Park,51.22,-117.7,11/7/1981,Black Bear,https://www.gbif.org/species/2433434,1,1,Female,ADULT,Railway,7/11/1981,453120,5675009
Glacier National Park,51.21,-117.7,5/26/1982,Black Bear,https://www.gbif.org/species/2433435,1,1,Female,ADULT,Highway,26/05/1982,451300,5673600
Glacier National Park,51.26,-117.6,6/15/1982,Black Bear,https://www.gbif.org/species/2433436,1,0,Unknown,YLY,Highway,15/06/1982,458720,5678509
Glacier National Park,51.32,-117.5,7/8/1982,Mountain Goat,https://www.gbif.org/species/2441163,2,2,Female,ADULT,Highway,8/7/1982,467520,5686009
Glacier National Park,51.32,-117.5,7/11/1982,Mountain Goat,https://www.gbif.org/species/2441164,1,0,Male,ADULT,Highway,11/7/1982,467420,5686009
Glacier National Park,51.33,-117.5,7/13/1982,Black Bear,https://www.gbif.org/species/2433437,1,1,Female,ADULT,Highway,13/07/1982,468020,5686309
Glacier National Park,51.23,-117.7,7/27/1982,Black Bear,https://www.gbif.org/species/2433438,1,0,Male,ADULT,Highway,27/07/1982,452820,5675209
Glacier National Park,51.32,-117.5,7/30/1982,Mountain Goat,https://www.gbif.org/species/2441165,1,0,Unknown,YOY,Highway,30/07/1982,467220,5686009
Glacier National Park,51.33,-117.5,8/11/1982,Mountain Goat,https://www.gbif.org/species/2441166,1,0,Unknown,YOY,Highway,11/8/1982,467520,5686109
Glacier National Park,51.45,-117.5,8/13/1982,Black Bear,https://www.gbif.org/species/2433439,1,1,Female,ADULT,Highway,13/08/1982,466820,5700309
Glacier National Park,51.33,-117.5,8/17/1982,Mountain Goat,https://www.gbif.org/species/2441167,1,0,Male,Adult,Highway,17/08/1982,468020,5686309
Glacier National Park,51.32,-117.5,8/30/1982,Mountain Goat,https://www.gbif.org/species/2441168,1,1,Female,ADULT,Highway,30/08/1982,466800,5685700
Glacier National Park,51.26,-117.6,9/20/1982,Black Bear,https://www.gbif.org/species/2433440,1,0,Male,ADULT,Highway,20/09/1982,460520,5679109
Glacier National Park,51.21,-117.7,5/20/1983,Black Bear,https://www.gbif.org/species/2433441,1,0,Unknown,ADULT,Highway,20/05/1983,449920,5673409
Glacier National Park,51.32,-117.5,6/22/1983,Mountain Goat,https://www.gbif.org/species/2441169,1,0,Unknown,YOY,Highway,22/06/1983,467520,5686009
Glacier National Park,51.33,-117.5,6/25/1983,Black Bear,https://www.gbif.org/species/2433442,1,1,Female,ADULT,Highway,25/06/1983,468220,5686409
Glacier National Park,51.33,-117.5,6/26/1983,Mountain Goat,https://www.gbif.org/species/2441170,1,1,Female,ADULT,Highway,26/06/1983,467520,5686109
Glacier National Park,51.32,-117.5,7/23/1983,Mountain Goat,https://www.gbif.org/species/2441171,1,1,Female,ADULT,Highway,23/07/1983,467520,5686009
Glacier National Park,50.87,-117.5,1/12/1984,Mountain Goat,https://www.gbif.org/species/2441172,1,1,Female,ADULT,Highway,12/1/1984,466320,5635609
Glacier National Park,51.26,-117.6,6/20/1984,Mountain Goat,https://www.gbif.org/species/2441173,1,0,Male,ADULT,Highway,20/06/1984,460020,5679109
Glacier National Park,51.33,-117.5,7/2/1984,Mountain Goat,https://www.gbif.org/species/2441174,2,2,Female,ADULT,Highway,2/7/1984,467520,5686109
Glacier National Park,51.41,-117.5,7/24/1984,Black Bear,https://www.gbif.org/species/2433443,1,0,Unknown,YOY,Highway,24/07/1984,467220,5695709
Glacier National Park,51.3,-117.5,9/6/1984,Black Bear,https://www.gbif.org/species/2433444,1,1,Female,ADULT,Highway,6/9/1984,463820,5683309
Glacier National Park,51.21,-117.7,6/18/1985,Black Bear,https://www.gbif.org/species/2433445,1,0,Unknown,YLY,Railway,18/06/1985,451320,5673909
Glacier National Park,51.32,-117.5,6/28/1985,Mountain Goat,https://www.gbif.org/species/2441175,1,0,Unknown,YLY,Highway,28/06/1985,467320,5686009
Glacier National Park,51.26,-117.6,7/11/1985,Mountain Goat,https://www.gbif.org/species/2441176,1,1,Female,ADULT,Highway,11/7/1985,459420,5678709
Glacier National Park,51.41,-117.5,7/17/1985,Black Bear,https://www.gbif.org/species/2433446,1,1,Female,ADULT,Highway,17/07/1985,467120,5695809
Glacier National Park,51.47,-117.5,7/28/1985,Black Bear,https://www.gbif.org/species/2433447,1,1,Female,ADULT,Highway,28/07/1985,466620,5702609
Glacier National Park,51.26,-117.5,8/6/1985,Black Bear,https://www.gbif.org/species/2433448,1,1,Female,ADULT,Highway,6/8/1985,464420,5679409
Glacier National Park,51.32,-117.5,10/15/1985,Black Bear,https://www.gbif.org/species/2433449,1,1,Female,ADULT,Highway,15/10/1985,465920,5685509
Glacier National Park,51.33,-117.4,10/18/1985,Black Bear,https://www.gbif.org/species/2433450,1,1,Female,ADULT,Highway,18/10/1985,469320,5686909
Glacier National Park,51.43,-117.5,5/5/1986,Black Bear,https://www.gbif.org/species/2433451,1,1,Female,ADULT,Highway,5/5/1986,466920,5697209
Glacier National Park,51.32,-117.5,7/5/1986,Mountain Goat,https://www.gbif.org/species/2441177,1,1,Female,ADULT,Highway,5/7/1986,467220,5686009
Glacier National Park,51.24,-117.7,7/11/1986,Black Bear,https://www.gbif.org/species/2433452,1,0,Female,YOY,Highway,11/7/1986,453620,5676509
Glacier National Park,51.26,-117.6,8/1/1986,Black Bear,https://www.gbif.org/species/2433453,1,0,Unknown,YOY,Highway,1/8/1986,458920,5678509
Glacier National Park,51.32,-117.5,2/16/1987,Mountain Goat,https://www.gbif.org/species/2441178,1,0,Male,ADULT,Highway,16/02/1987,466820,5685909
Glacier National Park,51.32,-117.5,5/5/1987,Black Bear,https://www.gbif.org/species/2433454,1,0,Unknown,YLY,Highway,5/5/1987,465120,5685209
Glacier National Park,51.35,-117.4,5/27/1987,Black Bear,https://www.gbif.org/species/2433455,1,1,Female,ADULT,Highway,27/05/1987,469620,5689309
Glacier National Park,51.21,-117.7,7/4/1987,Black Bear,https://www.gbif.org/species/2433456,1,1,Female,ADULT,Highway,4/7/1987,451320,5673809
Glacier National Park,51.31,-117.5,7/8/1987,Black Bear,https://www.gbif.org/species/2433457,1,1,Female,ADULT,Highway,8/7/1987,463620,5683909
Glacier National Park,51.23,-117.7,7/10/1987,Black Bear,https://www.gbif.org/species/2433458,1,1,Female,ADULT,Highway,10/7/1987,453420,5675909
Glacier National Park,51.35,-117.4,8/9/1987,Black Bear,https://www.gbif.org/species/2433459,1,0,Unknown,YLY,Highway,9/8/1987,469620,5688509
Glacier National Park,51.39,-117.4,8/15/1987,Black Bear,https://www.gbif.org/species/2433460,1,0,Unknown,YOY,Highway,15/08/1987,468820,5692909
Glacier National Park,51.38,-117.5,8/16/1987,Black Bear,https://www.gbif.org/species/2433461,1,0,Unknown,YOY,Highway,16/08/1987,468320,5692709
Glacier National Park,51.33,-117.5,6/23/1988,Mountain Goat,https://www.gbif.org/species/2441179,1,1,Female,ADULT,Highway,23/06/1988,467920,5686309
Glacier National Park,51.32,-117.5,7/4/1988,Mountain Goat,https://www.gbif.org/species/2441180,1,0,Male,ADULT,Highway,4/7/1988,466920,5686009
Glacier National Park,51.4,-117.5,8/1/1988,Black Bear,https://www.gbif.org/species/2433462,1,1,Mixed,ADULT,Highway,1/8/1988,467920,5694209
Glacier National Park,51.21,-117.7,8/18/1988,Black Bear,https://www.gbif.org/species/2433463,1,1,Female,ADULT,Highway,18/08/1988,448420,5672909
Glacier National Park,51.32,-117.5,10/20/1988,Black Bear,https://www.gbif.org/species/2433464,1,0,Unknown,ADULT,Highway,20/10/1988,465720,5685509
Glacier National Park,51.32,-117.5,6/8/1989,Mountain Goat,https://www.gbif.org/species/2441181,1,0,Unknown,YOY,Highway,8/6/1989,467420,5686009
Glacier National Park,51.32,-117.5,6/16/1989,Mountain Goat,https://www.gbif.org/species/2441182,1,0,Unknown,YLY,Highway,16/06/1989,467320,5686009
Glacier National Park,51.22,-117.7,6/23/1989,Black Bear,https://www.gbif.org/species/2433465,1,0,Unknown,YOY,Highway,23/06/1989,452720,5675009
Glacier National Park,51.32,-117.5,7/1/1989,Mountain Goat,https://www.gbif.org/species/2441183,1,1,Female,ADULT,Highway,1/7/1989,467220,5685909
Glacier National Park,51.32,-117.5,7/14/1989,Mountain Goat,https://www.gbif.org/species/2441184,1,0,Unknown,YLY,Highway,14/07/1989,467220,5686009
Glacier National Park,51.31,-117.5,8/3/1989,Black Bear,https://www.gbif.org/species/2433466,1,0,Unknown,YLY,Highway,3/8/1989,464020,5684509
Glacier National Park,51.32,-117.5,6/14/1990,Black Bear,https://www.gbif.org/species/2433467,1,0,Male,YOY,Highway,14/06/1990,465107,5685162
Glacier National Park,51.32,-117.5,6/19/1990,Black Bear,https://www.gbif.org/species/2433468,1,0,Unknown,ADULT,Highway,19/06/1990,465820,5685609
Glacier National Park,50.56,-117.5,7/5/1990,Black Bear,https://www.gbif.org/species/2433469,1,1,Female,ADULT,Highway,5/7/1990,466720,5601408
Glacier National Park,51.29,-117.5,7/14/1990,Black Bear,https://www.gbif.org/species/2433470,1,0,Unknown,YOY,Highway,14/07/1990,464220,5682509
Glacier National Park,51.43,-117.5,7/22/1990,Black Bear,https://www.gbif.org/species/2433471,1,0,Unknown,YLY,Highway,22/07/1990,466720,5697709
Glacier National Park,51.05,-117.9,8/25/1990,Mountain Goat,https://www.gbif.org/species/2441185,1,0,Female,YOY,Highway,25/08/1990,434420,5656209
Glacier National Park,51.32,-117.5,10/16/1990,Mountain Goat,https://www.gbif.org/species/2441186,2,1,Unknown,Unknown,Highway,16/10/1990,467500,5685800
Glacier National Park,51.46,-117.5,5/12/1991,Mountain Goat,https://www.gbif.org/species/2441187,1,0,Unknown,YLY,Highway,12/5/1991,466620,5701509
Glacier National Park,51.38,-117.5,5/18/1991,Black Bear,https://www.gbif.org/species/2433472,1,0,Unknown,YLY,Highway,18/05/1991,468520,5691809
Glacier National Park,51.33,-117.4,6/8/1991,Black Bear,https://www.gbif.org/species/2433473,1,1,Female,ADULT,Highway,8/6/1991,468920,5686709
Glacier National Park,51.32,-117.5,6/16/1991,Mountain Goat,https://www.gbif.org/species/2441188,1,1,Female,ADULT,Highway,16/06/1991,467220,5686009
Glacier National Park,51.45,-117.5,6/28/1991,Black Bear,https://www.gbif.org/species/2433474,1,0,Unknown,YLY,Highway,28/06/1991,466820,5699709
Glacier National Park,51.24,-117.6,7/9/1991,Black Bear,https://www.gbif.org/species/2433475,1,0,Unknown,YLY,Highway,9/7/1991,455120,5677009
Glacier National Park,51.33,-117.5,7/27/1991,Mountain Goat,https://www.gbif.org/species/2441189,1,1,Female,ADULT,Highway,27/07/1991,467320,5686109
Glacier National Park,51.32,-117.5,2/8/1992,Mountain Goat,https://www.gbif.org/species/2441190,1,0,Male,YLY,Highway,8/2/1992,466620,5686009
Glacier National Park,51.41,-117.5,9/17/1992,Black Bear,https://www.gbif.org/species/2433476,1,1,Female,ADULT,Highway,17/09/1992,467420,5695009
Glacier National Park,51.35,-117.3,5/21/1993,Black Bear,https://www.gbif.org/species/2433477,1,1,Female,ADULT,Railway,21/05/1993,476920,5688809
Glacier National Park,51.32,-117.5,6/20/1993,Mountain Goat,https://www.gbif.org/species/2441191,1,0,Male,ADULT,Highway,20/06/1993,467320,5686009
Glacier National Park,51.32,-117.5,7/15/1993,Mountain Goat,https://www.gbif.org/species/2441192,1,0,Female,YOY,Highway,15/07/1993,466620,5685709
Glacier National Park,51.32,-117.5,8/21/1993,Mountain Goat,https://www.gbif.org/species/2441193,1,1,Female,ADULT,Highway,21/08/1993,465620,5685509
Glacier National Park,51.26,-117.6,8/30/1993,Black Bear,https://www.gbif.org/species/2433478,1,0,Male,ADULT,Highway,30/08/1993,459520,5678809
