location,decimalLatitude,decimalLongitude,eventDate,vernacularName,taxonID,individualCount,femaleAdult,sex,lifeStage,mortalityType,dateOriginal,easting,northing
Glacier National Park,51.31,-117.5,9/9/1993,Black Bear,https://www.gbif.org/species/2433479,1,0,Unknown,UNKNOWN,Highway,9/9/1993,464420,5684909
Glacier National Park,51.32,-117.5,6/22/1994,Mountain Goat,https://www.gbif.org/species/2441194,1,1,Female,ADULT,Highway,22/06/1994,467020,5685909
Glacier National Park,51.1,-117.8,6/25/1994,Black Bear,https://www.gbif.org/species/2433480,1,1,Female,ADULT,Highway,25/06/1994,441420,5661609
Glacier National Park,51.26,-117.6,6/29/1994,Black Bear,https://www.gbif.org/species/2433481,1,0,Unknown,UNKNOWN,Highway,29/06/1994,459420,5678709
Glacier National Park,51.34,-117.4,6/30/1994,Black Bear,https://www.gbif.org/species/2433482,1,1,Female,ADULT,Railway,30/06/1994,470220,5687909
Glacier National Park,51.32,-117.5,12/22/1994,Mountain Goat,https://www.gbif.org/species/2441195,1,1,Female,ADULT,Highway,22/12/1994,466920,5685909
Glacier National Park,51.4,-117.5,5/20/1995,Black Bear,https://www.gbif.org/species/2433483,1,1,Female,ADULT,Highway,20/05/1995,467620,5694609
Glacier National Park,51.43,-117.5,12/22/1995,Wolverine,https://www.gbif.org/species/5219073,1,1,Female,ADULT,Highway,22/12/1995,466720,5698209
Glacier National Park,51.42,-117.5,10/11/1996,Black Bear,https://www.gbif.org/species/2433484,1,0,Unknown,YLY,Highway,11/10/1996,467120,5697009
Glacier National Park,51.26,-117.5,6/11/1997,Black Bear,https://www.gbif.org/species/2433485,1,0,Unknown,YLY,Highway,11/6/1997,462420,5678609
Glacier National Park,51.33,-117.5,8/18/1997,Mountain Goat,https://www.gbif.org/species/2441196,1,1,Female,ADULT,Highway,18/08/1997,468220,5686509
Glacier National Park,51.31,-117.5,9/19/1997,Black Bear,https://www.gbif.org/species/2433486,1,1,Female,ADULT,Highway,19/09/1997,462420,5684409
Glacier National Park,51.33,-117.5,10/19/1997,Mountain Goat,https://www.gbif.org/species/2441197,1,0,Unknown,ADULT,Highway,19/10/1997,468220,5686509
Glacier National Park,51.38,-117.4,6/27/1998,Black Bear,https://www.gbif.org/species/2433487,1,0,Male,ADULT,Highway,27/06/1998,468774,5692701
Glacier National Park,51.22,-117.7,5/1/1999,Black Bear,https://www.gbif.org/species/2433488,1,0,MALE,ADULT,Highway,1/5/1999,451677,5674248
Glacier National Park,51.46,-117.5,5/25/1999,Black Bear,https://www.gbif.org/species/2433489,1,0,UNKNOWN,YOLY,Railway,25/05/1999,465429,5700554
Glacier National Park,51.37,-117.4,5/27/1999,Black Bear,https://www.gbif.org/species/2433490,1,0,FEMALE,YOLY,Railway,27/05/1999,469013,5690752
Glacier National Park,51.26,-117.6,6/4/1999,Black Bear,https://www.gbif.org/species/2433491,1,0,Unknown,UNKNOWN,Highway,4/6/1999,456596,5679050
Glacier National Park,51.46,-117.5,6/12/1999,Black Bear,https://www.gbif.org/species/2433492,2,0,UNKNOWN,YOLY,Highway,12/6/1999,466759,5701310
Glacier National Park,51.33,-117.5,6/19/1999,Mountain Goat,https://www.gbif.org/species/2441198,1,0,Unknown,YLY,Highway,19/06/1999,467020,5686129
Glacier National Park,51.38,-117.5,6/23/1999,Black Bear,https://www.gbif.org/species/2433493,1,0,UNKNOWN,UNKNOWN,Railway,23/06/1999,468420,5692209
Glacier National Park,51.25,-117.6,6/25/1999,Black Bear,https://www.gbif.org/species/2433494,1,0,MALE,ADULT,Highway,25/06/1999,456629,5677924
Glacier National Park,50.47,-117.4,6/26/1999,Black Bear,https://www.gbif.org/species/2433495,1,0,MALE,ADULT,Railway,26/06/1999,468920,5590766
Glacier National Park,51.26,-117.6,7/6/1999,Grizzly Bear,https://www.gbif.org/species/2433438,1,0,Unknown,UNKNOWN,Highway,6/7/1999,460585,5679385
Glacier National Park,51.43,-117.5,7/9/1999,Black Bear,https://www.gbif.org/species/2433496,1,0,UNKNOWN,YOY,Highway,9/7/1999,466869,5697516
Glacier National Park,51.25,-117.6,9/9/1999,Black Bear,https://www.gbif.org/species/2433497,1,0,UNKNOWN,ADULT,Highway,9/9/1999,455566,5677586
Glacier National Park,51.25,-117.6,9/9/1999,Black Bear,https://www.gbif.org/species/2433498,1,0,MALE,UNKNOWN,Railway,9/9/1999,458746,5678184
Glacier National Park,51.38,-117.4,10/9/1999,Grizzly Bear,https://www.gbif.org/species/2433439,1,0,FEMALE,YOY,Highway,9/10/1999,468920,5692209
Glacier National Park,50.47,-117.4,7/15/2000,Black Bear,https://www.gbif.org/species/2433499,1,0,MALE,ADULT,Railway,15/07/2000,469000,5590558
Glacier National Park,51.35,-117.5,7/15/2000,Black Bear,https://www.gbif.org/species/2433500,1,0,MALE,ADULT,Highway,15/07/2000,462463,5688939
Glacier National Park,51.46,-117.5,8/14/2000,Black Bear,https://www.gbif.org/species/2433501,1,0,UNKNOWN,UNKNOWN,Highway,14/08/2000,466596,5701589
Glacier National Park,51.29,-117.5,6/3/2001,Mountain Goat,https://www.gbif.org/species/2441199,1,0,Unknown,YLY,Highway,3/6/2001,463990,5682379
Glacier National Park,51.35,-117.4,6/13/2001,Black Bear,https://www.gbif.org/species/2433502,1,0,Unknown,UNKNOWN,Highway,13/06/2001,469980,5688409
Glacier National Park,51.38,-117.5,6/27/2001,Black Bear,https://www.gbif.org/species/2433503,1,0,UNKNOWN,ADULT,Railway,27/06/2001,467874,5692435
Glacier National Park,51.32,-117.5,7/3/2001,Mountain Goat,https://www.gbif.org/species/2441200,1,0,FEMALE,YOLY,Highway,3/7/2001,467100,5685920
Glacier National Park,50.47,-117.4,7/13/2001,Black Bear,https://www.gbif.org/species/2433504,1,0,UNKNOWN,UNKNOWN,Railway,13/07/2001,469039,5590558
Glacier National Park,51.35,-117.4,5/16/2002,Black Bear,https://www.gbif.org/species/2433505,1,0,MALE,YOY,Railway,16/05/2002,470220,5688509
Glacier National Park,50.47,-117.5,5/19/2002,Black Bear,https://www.gbif.org/species/2433506,1,0,MALE,ADULT,Railway,19/05/2002,463724,5590766
Glacier National Park,51.37,-117.5,5/19/2002,Black Bear,https://www.gbif.org/species/2433507,1,0,MALE,ADULT,Railway,19/05/2002,468639,5691614
Glacier National Park,51.46,-117.5,6/2/2002,Grizzly Bear,https://www.gbif.org/species/2433440,1,0,Unknown,YOY,Highway,2/6/2002,466720,5700709
Glacier National Park,51.45,-117.5,6/12/2002,Grizzly Bear,https://www.gbif.org/species/2433441,1,0,Unknown,YOY,Highway,12/6/2002,466770,5699910
Glacier National Park,51.33,-117.5,6/27/2002,Mountain Goat,https://www.gbif.org/species/2441201,1,1,FEMALE,ADULT,Highway,27/06/2002,467033,5686169
Glacier National Park,51.33,-117.5,8/3/2002,Black Bear,https://www.gbif.org/species/2433508,1,1,Female,ADULT,Highway,3/8/2002,468190,5686549
Glacier National Park,51.33,-117.5,8/4/2002,Black Bear,https://www.gbif.org/species/2433509,1,0,FEMALE,UNKNOWN,Highway,4/8/2002,468215,5686336
Glacier National Park,51.48,-117.5,8/6/2002,Black Bear,https://www.gbif.org/species/2433510,1,0,Unknown,YLY,Highway,6/8/2002,466615,5703189
Glacier National Park,51.26,-117.6,9/8/2002,Mountain Goat,https://www.gbif.org/species/2441202,1,0,FEMALE,YOY,Highway,8/9/2002,459800,5679049
Glacier National Park,51.26,-117.6,10/18/2002,Mountain Goat,https://www.gbif.org/species/2441203,1,1,FEMALE,ADULT,Highway,18/10/2002,459800,5679049
Glacier National Park,51.05,-117.9,1/16/2004,Mountain Goat,https://www.gbif.org/species/2441204,1,0,UNKNOWN,UNKNOWN,Highway,16/01/2004,434429,5656169
Glacier National Park,51.24,-117.6,6/8/2004,Black Bear,https://www.gbif.org/species/2433511,1,0,MALE,ADULT,Highway,8/6/2004,455312,5677172
Glacier National Park,51.32,-117.5,7/18/2004,Mountain Goat,https://www.gbif.org/species/2441205,1,1,Female,ADULT,Highway,18/07/2004,467100,5685920
Glacier National Park,51.32,-117.5,7/18/2004,Mountain Goat,https://www.gbif.org/species/2441206,1,0,FEMALE,UNKNOWN,Highway,18/07/2004,466690,5685901
Glacier National Park,51.24,-117.6,8/6/2004,Black Bear,https://www.gbif.org/species/2433512,1,0,MALE,ADULT,Highway,6/8/2004,455312,5677172
Glacier National Park,51.33,-117.5,9/7/2004,Mountain Goat,https://www.gbif.org/species/2441207,1,1,FEMALE,ADULT,Highway,7/9/2004,467680,5686111
Glacier National Park,51.26,-117.6,10/3/2004,Mountain Goat,https://www.gbif.org/species/2441208,2,0,Unknown,UNKNOWN,Highway,3/10/2004,459450,5678550
Glacier National Park,51.26,-117.6,7/11/2005,Mountain Goat,https://www.gbif.org/species/2441209,1,0,Female,YLY,Highway,11/7/2005,459880,5678840
Glacier National Park,51.32,-117.5,7/13/2005,Mountain Goat,https://www.gbif.org/species/2441210,1,1,Female,ADULT,Highway,13/07/2005,467100,5685920
Glacier National Park,51.33,-117.5,7/13/2005,Mountain Goat,https://www.gbif.org/species/2441211,1,0,Unknown,UNKNOWN,Highway,13/07/2005,467680,5686111
Glacier National Park,51.45,-117.5,10/9/2005,Mountain Goat,https://www.gbif.org/species/2441212,1,1,Female,ADULT,Highway,9/10/2005,466770,5699910
Glacier National Park,51.32,-117.5,6/24/2006,Mountain Goat,https://www.gbif.org/species/2441213,1,0,UNKNOWN,YOY,Highway,24/06/2006,467113,5685960
Glacier National Park,51.33,-117.5,9/9/2006,Mountain Goat,https://www.gbif.org/species/2441214,1,0,Unknown,UNKNOWN,Highway,9/9/2006,467680,5686111
Glacier National Park,51.23,-117.7,9/14/2006,Black Bear,https://www.gbif.org/species/2433513,1,0,Unknown,UNKNOWN,Railway,14/09/2006,452945,5675390
Glacier National Park,51.32,-117.5,10/17/2006,Mountain Goat,https://www.gbif.org/species/2441215,1,0,FEMALE,YOY,Highway,17/10/2006,467113,5685960
Glacier National Park,51.46,-117.5,10/21/2006,Grizzly Bear,https://www.gbif.org/species/2433442,1,0,Unknown,YOY,Railway,21/10/2006,465835,5701608
Glacier National Park,51.32,-117.5,6/21/2007,Mountain Goat,https://www.gbif.org/species/2441216,1,1,Female,ADULT,Highway,21/06/2007,467113,5685960
Glacier National Park,51.33,-117.5,7/11/2007,Mountain Goat,https://www.gbif.org/species/2441217,1,0,Unknown,YLY,Highway,11/7/2007,467680,5686111
Glacier National Park,51.39,-117.5,7/23/2007,Black Bear,https://www.gbif.org/species/2433514,1,0,Unknown,YLY,Railway,23/07/2007,467820,5692800
Glacier National Park,51.41,-117.5,7/26/2007,Mountain Goat,https://www.gbif.org/species/2441218,1,1,Female,ADULT,Highway,26/07/2007,467139,5696009
Glacier National Park,51.39,-117.5,10/5/2007,Black Bear,https://www.gbif.org/species/2433515,1,0,Unknown,UNKNOWN,Railway,5/10/2007,467820,5692800
Glacier National Park,51.46,-117.5,10/14/2007,Black Bear,https://www.gbif.org/species/2433516,1,0,Unknown,UNKNOWN,Railway,14/10/2007,465835,5701608
Glacier National Park,51.32,-117.5,11/23/2007,Mountain Goat,https://www.gbif.org/species/2441219,1,0,Unknown,UNKNOWN,Highway,23/11/2007,466933,5685939
Glacier National Park,51.34,-117.4,6/21/2008,Black Bear,https://www.gbif.org/species/2433517,1,0,MALE,ADULT,Highway,21/06/2008,469193,5687214
Glacier National Park,51.26,-117.6,6/30/2008,Black Bear,https://www.gbif.org/species/2433518,1,0,Unknown,UNKNOWN,Highway,30/06/2008,461594,5679136
Glacier National Park,51.24,-117.7,7/1/2008,Black Bear,https://www.gbif.org/species/2433519,1,0,UNKNOWN,UNKNOWN,Highway,1/7/2008,454614,5676907
Glacier National Park,51.43,-117.5,6/16/2009,Black Bear,https://www.gbif.org/species/2433520,1,0,Unknown,UNKNOWN,Highway,16/06/2009,466861,5697851
Glacier National Park,51.46,-117.5,4/16/2010,Black Bear,https://www.gbif.org/species/2433521,1,1,Female,ADULT,Highway,16/04/2010,465835,5701608
Glacier National Park,51.39,-117.5,6/23/2010,Black Bear,https://www.gbif.org/species/2433522,1,1,Female,ADULT,Highway,23/06/2010,467820,5692800
Glacier National Park,51.32,-117.5,7/11/2010,Mountain Goat,https://www.gbif.org/species/2441220,1,1,Female,ADULT,Highway,11/7/2010,467232,5685944
Glacier National Park,51.39,-117.5,11/5/2010,Black Bear,https://www.gbif.org/species/2433523,1,1,Female,ADULT,Railway,5/11/2010,466905,5693858
Glacier National Park,51.23,-117.7,5/21/2011,Black Bear,https://www.gbif.org/species/2433524,1,0,Male,UNKNOWN,Railway,21/05/2011,453929,5675990
Glacier National Park,51.22,-117.7,7/8/2011,Black Bear,https://www.gbif.org/species/2433525,1,0,MALE,UNKNOWN,Highway,8/7/2011,451690,5674016
Glacier National Park,51.44,-117.5,8/8/2011,Black Bear,https://www.gbif.org/species/2433526,1,0,MALE,ADULT,Highway,8/8/2011,466810,5699026
Glacier National Park,51.34,-117.4,8/14/2011,Black Bear,https://www.gbif.org/species/2433527,1,0,Unknown,UNKNOWN,Highway,14/08/2011,469496,5687713
Glacier National Park,51.23,-117.7,11/21/2011,Black Bear,https://www.gbif.org/species/2433528,1,1,Female,ADULT,Railway,21/11/2011,453929,5675990
Glacier National Park,51.41,-117.5,6/2/2012,Black Bear,https://www.gbif.org/species/2433529,1,0,Unknown,UNKNOWN,Railway,2/6/2012,466363,5695307
Glacier National Park,51.26,-117.6,6/26/2012,Mountain Goat,https://www.gbif.org/species/2441221,1,0,Unknown,UNKNOWN,Highway,26/06/2012,460520,5679060
Glacier National Park,51.26,-117.6,3/7/2013,Mountain Goat,https://www.gbif.org/species/2441222,1,0,Unknown,UNKNOWN,Highway,7/3/2013,460526,5679171
Glacier National Park,51.26,-117.6,6/7/2013,Mountain Goat,https://www.gbif.org/species/2441223,1,0,FEMALE,UNKNOWN,Highway,7/6/2013,459931,5678874
Glacier National Park,51.26,-117.6,6/12/2013,Mountain Goat,https://www.gbif.org/species/2441224,2,0,UNKNOWN,UNKNOWN,Highway,12/6/2013,459453,5678719
Glacier National Park,51.32,-117.5,10/16/2013,Black Bear,https://www.gbif.org/species/2433530,1,0,MALE,UNKNOWN,Highway,16/10/2013,464580,5685003
Glacier National Park,51.41,-117.5,5/2/2014,Black Bear,https://www.gbif.org/species/2433531,3,0,FEMALE,UNKNOWN,Railway,2/5/2014,466136,5695435
Glacier National Park,51.49,-117.5,5/27/2014,Black Bear,https://www.gbif.org/species/2433532,1,0,MALE,UNKNOWN,Highway,27/05/2014,465779,5704248
Glacier National Park,51.21,-117.7,6/4/2014,Black Bear,https://www.gbif.org/species/2433533,1,0,MALE,UNKNOWN,Highway,4/6/2014,449958,5673388
Glacier National Park,51.32,-117.5,6/13/2014,Mountain Goat,https://www.gbif.org/species/2441225,1,0,FEMALE,UNKNOWN,Highway,13/06/2014,467213,5685931
Glacier National Park,51.32,-117.5,7/2/2014,Mountain Goat,https://www.gbif.org/species/2441226,1,0,Female,UNKNOWN,Highway,2/7/2014,467113,5685960
Glacier National Park,51.27,-117.5,7/9/2014,Mountain Goat,https://www.gbif.org/species/2441227,1,0,Unknown,UNKNOWN,Highway,9/7/2014,463949,5679720
Glacier National Park,51.32,-117.5,7/13/2014,Mountain Goat,https://www.gbif.org/species/2441228,2,0,FEMALE,UNKNOWN,Highway,13/07/2014,467113,5685960
Glacier National Park,51.32,-117.5,7/14/2014,Mountain Goat,https://www.gbif.org/species/2441229,1,0,FEMALE,UNKNOWN,Highway,14/07/2014,467423,5685981
Glacier National Park,51.41,-117.5,6/12/2015,Black Bear,https://www.gbif.org/species/2433534,1,0,Male,Adult,Railway,12/6/2015,466405,5695155
Glacier National Park,51.26,-117.6,6/23/2015,Mountain Goat,https://www.gbif.org/species/2441230,2,0,Unknown,Adult,Highway,23/06/2015,459448,5678719
Glacier National Park,51.26,-117.6,6/26/2015,Mountain Goat,https://www.gbif.org/species/2441231,1,0,Unknown,YOY,Highway,26/06/2015,459448,5678719
Glacier National Park,51.32,-117.5,7/6/2015,Mountain Goat,https://www.gbif.org/species/2441232,1,1,Female,Adult,Highway,6/7/2015,467059,5685909
Glacier National Park,51.26,-117.6,7/10/2015,Mountain Goat,https://www.gbif.org/species/2441233,1,0,Unknown,Adult,Highway,10/7/2015,459318,5678678
Glacier National Park,51.26,-117.6,7/31/2015,Mountain Goat,https://www.gbif.org/species/2441234,1,0,Unknown,YOY,Highway,31/07/2015,459448,5678719
Glacier National Park,51.26,-117.6,8/28/2015,Mountain Goat,https://www.gbif.org/species/2441235,1,0,Female,Junvenile,Highway,28/08/2015,459448,5678719
Glacier National Park,51.26,-117.6,9/24/2015,Mountain Goat,https://www.gbif.org/species/2441236,1,0,Female,YOY,Highway,24/09/2015,459448,5678719
Glacier National Park,51.36860392,-117.4,10/7/2015,Black Bear,https://www.gbif.org/species/2433535,1,0,Female,YLY,Highway,7/10/2015,458176,567805
Glacier National Park,51.26,-117.6,10/13/2015,Black Bear,https://www.gbif.org/species/2433536,1,0,Unknown,Unknown,Railway,13/10/2015,459448,5678719
Glacier National Park,51.37,-117.4,11/1/2015,Black Bear,https://www.gbif.org/species/2433537,1,0,Male,Adult,Railway,1/11/2015,468815,5691031
Glacier National Park,51.38,-117.5,5/12/2016,Black Bear,https://www.gbif.org/species/2433538,1,1,Female,Adult,Railway,12/5/2016,467820,5691870
Glacier National Park,51.34,-117.4,6/4/2016,Black Bear,https://www.gbif.org/species/2433539,1,0,Unknown,Adult,Railway,4/6/2016,470281,5688232
Glacier National Park,51.2,-117.7,6/26/2016,Mountain Goat,https://www.gbif.org/species/2441237,1,0,Unknown,Adult,Highway,26/06/2016,447918,5672438
Glacier National Park,51.26,-117.6,6/30/2016,Mountain Goat,https://www.gbif.org/species/2441238,1,0,Unknown,YOY,Highway,30/06/2016,459448,5678715
Glacier National Park,51.26,-117.6,7/10/2016,Black Bear,https://www.gbif.org/species/2433540,1,0,Male,Junvenile,Highway,10/7/2016,461568,5679118
Glacier National Park,51.32,-117.5,7/20/2016,Mountain Goat,https://www.gbif.org/species/2441239,1,0,Unknown,YLY,Highway,20/07/2016,466943,5685887
Glacier National Park,51.25,-117.6,9/17/2016,Black Bear,https://www.gbif.org/species/2433541,1,0,Male,Adult,Railway,17/09/2016,458659,5678110
Glacier National Park,51.38,-117.5,10/23/2016,Black Bear,https://www.gbif.org/species/2433542,3,0,Unknown,Unknown,Railway,23/10/2016,467561,5692335
Glacier National Park,51.21,-117.7,6/18/2017,Black Bear,https://www.gbif.org/species/2433543,1,0,Unknown,YOY,Highway,18/06/2017,448484,5672888
Glacier National Park,51.2,-117.7,6/23/2017,Mountain Goat,https://www.gbif.org/species/2441240,1,0,Unknown,ADULT,Highway,23/06/2017,448094,5672663
Glacier National Park,51.4,-117.5,7/4/2017,Black Bear,https://www.gbif.org/species/2433544,1,1,Female,Unknown,Highway,4/7/2017,468041,5693998
Glacier National Park,51.21,-117.7,7/15/2017,Black Bear,https://www.gbif.org/species/2433545,1,0,Male,Adult,Highway,15/07/2017,450228,5673446
Glacier National Park,51.32,-117.5,8/5/2017,Mountain Goat,https://www.gbif.org/species/2441241,1,0,Unknown,YOY,Highway,5/8/2017,467506,5686009
Glacier National Park,51.27,-117.5,8/15/2017,Grizzly Bear,https://www.gbif.org/species/2433443,1,1,Mixed group,Mixed group,Highway,15/08/2017,464867,5680029
Glacier National Park,51.38,-117.4,10/29/2017,Grizzly Bear,https://www.gbif.org/species/2433444,1,0,Male,Adult,Highway,29/10/2017,468716,5692619
